NOME;POTENCIA;PROPRIET;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Ventos de Santa Eugênia 06;34200;100% para OSLO VI S/A. (PIE);20230120;EOL.CV.BA.038082-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Acauã I;25200;100% para CENTRAL EOLICA ACAUA I S.A. (PIE);20240124;EOL.CV.RN.033597-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Campo dos Ventos III;25200;100% para Campo dos Ventos III Energias Renováveis S.A (PIE);20160505;EOL.CV.RN.031071-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Juremas;16100;100% para SPE Juremas Energia S.A. (PIE);20141205;EOL.CV.RN.030660-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Igaporã;30400;100% para Centrais Eólicas Igaporã LTDA. (PIE);20140704;EOL.CV.BA.030321-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Roque 13;45600;100% para ENEL GREEN POWER VENTOS DE SAO ROQUE 13 S.A. (PIE);20240228;EOL.CV.PI.040631-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Chafariz 1;34650;100% para CHAFARIZ 1 ENERGIA RENOVÁVEL S.A. (PIE);20210813;EOL.CV.PB.034639-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Delta 3 VII (Antiga Ventos do Norte 18);27600;100% para DELTA 3 VII ENERGIA S.A. (PIE);20170707;EOL.CV.MA.033680-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Juazeiro;18900;100% para Centrais Eólicas Juazeiro S.A. (PIE);20221022;EOL.CV.BA.032106-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sete Gameleiras;30000;100% para SETE GAMELEIRAS S/A (PIE);20130326;EOL.CV.BA.030455-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Oitis 6;49500;100% para OITIS 6 ENERGIA RENOVÁVEL S.A. (PIE);20220722;EOL.CV.PI.044365-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Brígida VII;27200;100% para Ventos de Santa Brígida VII Energias Renováveis S.A (PIE);20151225;EOL.CV.PE.031422-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Aura Mirim VI;9000;100% para Santa Vitória do Palmar IX Energias Renováveis S.A. (PIE);20170708;EOL.CV.RS.031701-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra do Seridó VII;44000;100% para Parque Eólico Serra do Seridó VII S.A. (PIE);20230705;EOL.CV.PB.038305-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Januário 23;58800;100% para VENTOS DE SANTO ABELARDO ENERGIAS RENOVÁVEIS S/A (PIE);20211224;EOL.CV.RN.040625-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Bento do Norte I;23100;100% para CENTRAL GERADORA EÓLICA SÃO BENTO DO NORTE I S/A (PIE);20190131;EOL.CV.RN.033640-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santana I;30000;100% para SANTANA 1 ENERGIA RENOVÁVEL S.A. (PIE);20161228;EOL.CV.RN.031810-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Cajuína A3 (Amtiga Ventos de Santa Tereza 03);45600;100% para VENTOS DE SANTA TEREZA 03 ENERGIAS RENOVAVEIS S.A. (PIE);20230811;EOL.CV.RN.047237-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Cumarú III;42000;100% para ENEL GREEN POWER CUMARU 03 S.A (PIE);20211016;EOL.CV.RN.032209-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Modelo I;30550;100% para Enel Green Power Modelo I Eólica S.A (PIE);20141025;EOL.CV.RN.030787-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Parque Eólico dos Índios 3;23000;100% para Ventos dos Índios Energia S.A (PIE);20141216;EOL.CV.RS.030894-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Umburanas 13;20000;100% para Eólica Umburanas  13 S.A. (PIE);20190308;EOL.CV.BA.031752-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
União dos Ventos 16;28875;100% para Ventos Parazinhenses Geradora Eólica S.A (PIE);20191217;EOL.CV.RN.031652-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Mundo Novo VII;40500;100% para SPE 3 – Central Eólica Mundo Novo S.A. (PIE);20240130;EOL.CV.RN.032404-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra da Babilônia F;20400;100% para EÓLICA SDB F S.A. (PIE);20210803;EOL.CV.BA.040612-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
VENTOS SAO CAIO;35200;100% para VENTOS DE SAO CAIO ENERGIAS RENOVAVEIS S/A (PIE);20221028;EOL.CV.PI.048514-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Joana III;29600;100% para VENTOS DE SANTA JOANA III ENERGIAS RENOVÁVEIS S.A (PIE);20160311;EOL.CV.PI.031580-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Dreen Boa Vista;14000;100% para GE BOA VISTA S/A (PIE);20150225;EOL.CV.RN.030512-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Aura Caetité 03;36000;100% para TANQUE NOVO VI ENERGIAS RENOVAVEIS S.A. (PIE);20230505;EOL.CV.BA.032804-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Campo Largo II;29700;100% para CLWP EÓLICA PARQUE II S.A. (PIE);20181221;EOL.CV.BA.034633-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Luzia 11;49500;100% para Ventos de São Canuto IV Energias Renováveis S.A. (PIE);20240509;EOL.CV.RN.051585-0.02;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vila Pará III;24000;100% para USINA DE ENERGIA EÓLICA VILA PARÁ III SPE S.A. (PIE);20161007;EOL.CV.RN.031765-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Arapapá;4000;100% para Companhia Hidro Elétrica do São Francisco (PIE);20191121;EOL.CV.BA.031434-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Zacarias 06;45600;100% para VENTOS DE SAO ZACARIAS 06 ENERGIAS RENOVAVEIS S.A. (PIE);20241002;EOL.CV.PI.038131-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Canoas 3;24260;100% para CANOAS 3 ENERGIA RENOVÁVEL S.A. (PIE);20211231;EOL.CV.PB.037952-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Vila Acre II;31185;100% para VENTOS DE VILA ACRE II SPE S.A (PIE);20191224;EOL.CV.RN.033753-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Clara IV;30000;100% para SANTA CLARA IV ENERGIAS RENOVÁVEIS LTDA (PIE);20140329;EOL.CV.RN.030307-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Carcará;10000;100% para Companhia Hidro Elétrica do São Francisco (PIE);20200214;EOL.CV.BA.031447-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Roque 01;49500;100% para ENEL GREEN POWER VENTOS DE SÃO ROQUE 01 S.A. (PIE);20221011;EOL.CV.PI.038103-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra das Vacas A;45000;100% para EÓLICA SERRA DAS VACAS IX S.A (PIE);20240402;EOL.CV.PE.049353-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Dreen Cutia;23100;100% para USINA DE ENERGIA EÓLICA CUTIA S/A (PIE);20181222;EOL.CV.RN.030701-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra da Babilônia B;31800;100% para Eólica SDB B S.A. (PIE);20210517;EOL.CV.BA.040608-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra da Babilônia VII;28200;100% para EÓLICA SERRA DA BABILÔNIA VII S.A (PIE);20181212;EOL.CV.BA.032467-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Leia 02;67500;100% para VENTOS DE SÃO LUIGI ENERGIAS RENOVÁVEIS S.A. (PIE);20230630;EOL.CV.RN.033681-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Canoa Quebrada;57000;100% para CPFL ENERGIAS RENOVÁVEIS S.A. (PIE);20100126;EOL.CV.CE.028788-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Asa Branca III;27000;100% para NOVA ASA BRANCA III ENERGIAS RENOVÁVEIS S.A (PIE);20150904;EOL.CV.RN.030548-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santo Antônio;3000;100% para Santo Antônio Energia Eólica S.A. (PIE);20110708;EOL.CV.SC.029053-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Cristalândia I;30000;100% para ENEL GREEN POWER CRISTALANDIA I EOLICA S.A (PIE);20170901;EOL.CV.BA.032081-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
