NOME;CONCESSION;ANO_OPERA;TENSAO;LONGITUDE;LATITUDE;CD_MUN;CPU
SE Abdon Batista;ETSE - ETSE - EMPRESA DE TRANSMISSÃO SERRANA S.A;2014;525/230;0;0;
SE Abunã;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/138;0;0;
SE Açailândia;EATE - Empresa Amazonense de Transmissão de Energia S.A.;2003;500;0;0;
SE Acaraú II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2010;230/69;0;0;
SE Açu II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/138/69;0;0;
SE Açu III;ATEXVII - ATE XVII TRANSMISSORA DE ENERGIA SA;2017;500/230;0;0;
SE Adrianópolis;FURNAS - Furnas Centrais Elétricas S.A.;1970;500/345/138;0;0;
SE Água Azul;AGUA AZUL SPE - SUBESTACAO AGUA AZUL SPE S.A.;2019;440/138;0;0;
SE Água Vermelha;AES TIETÊ - AES Tietê S.A.;1978;500/440/138;0;0;
SE Águas Lindas;CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A;1998;230/69;0;0;
SE Alegrete 2;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69;0;0;
SE Altamira;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/69;0;0;
SE Anastácio;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;230/138;0;0;
SE Andirá Leste;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;2019;230/138;0;0;
SE Angelim;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Angra dos Reis;FURNAS - Furnas Centrais Elétricas S.A.;-;500/138;0;0;
SE Anhanguera;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;345/230/88;0;0;
SE Aparecida;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;230/88;0;0;
SE Apucarana;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;-;230/138/34,5;0;0;
SE Aracati II;BONS VENTOS - BONS VENTOS GERADORA DE ENERGIA S.A.;2010;230/34,5;0;0;
SE Araçuaí 2;TRANSIRAPÉ - COMPANHIA TRANSIRAPÉ DE TRANSMISSÃO;2007;230/138;0;0;
SE Arapiraca III;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2013;230/69;0;0;
SE Araraquara CTP;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;440/138;0;0;
SE Araraquara FUR;FURNAS - Furnas Centrais Elétricas S.A.;1976;500;0;0;
SE Araraquara 2;ARARAQUARA - ARARAQUARA TRANSMISSORA DE ENERGIA S.A;2012;500/440;0;0;
SE Araras;IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A;2010;440/138;0;0;
