NOME;PROPRIET;POTENCIA;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Intelbras;100% para INTELBRAS S.A. INDÚSTRIA DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA (REG);1245;20200601;UFV.RS.SC.049225-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Hélio Valgas 5;100% para GERADORA SOLAR HELIO VALGAS III S.A. (PIE);50000;20230805;UFV.RS.MG.042995-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ituverava 5;100% para Enel Green Power Ituverava Sul Solar S.A (PIE);28000;20171223;UFV.RS.BA.032320-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Marangatu 1;100% para MARANGATU 1 ENERGIAS RENOVAVEIS S.A. (PIE);30000;20240419;UFV.RS.PI.037786-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panati 3;100% para Panatí 3 Energias Renováveis S.A. (PIE);30000;20240125;UFV.RS.CE.038392-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra do Mel V (Antiga Serra do Mel VII);100% para SOL SERRA DO MEL V SPE S.A (PIE);48118;20231010;UFV.RS.RN.047422-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Maqstone;100% para Maq-Stone - Pedras e Máquinas LTDA. (REG);440;20211216;UFV.RS.ES.062877-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ribeiro Gonçalves VII;100% para RIBEIRO GONCALVES SOLAR VII S.A. (PIE);33545;20240523;UFV.RS.PI.044295-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Água Vermelha V;100% para AGV SOLAR V GERADORA DE ENERGIA S.A. (PIE);27360;20191129;UFV.RS.SP.034207-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Coremas VI;100% para Coremas VI Geração de Energia SPE LTDA. (PIE);27000;20220909;UFV.RS.PB.032865-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Fermap Armazéns Gerais;100% para Fermap Armazéns Gerais LTDA. (REG);550;20221005;UFV.RS.MT.071785-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sol do Sertão XXXVI;100% para SOL DO SERTÃO OB I ENERGIA SOLAR LTDA (PIE);40819;20210821;UFV.RS.BA.032067-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Pirapora 7;100% para PIRAPORA VII ENERGIAS RENOVÁVEIS S.A. (PIE);31000;20170926;UFV.RS.MG.033190-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Pedro e Paulo VI;100% para SAO PEDRO E PAULO VI ENERGIA SPE S/A (PIE);23123;20240518;UFV.RS.PE.034188-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
AC X;100% para VALE S.A. (PIE);39496;20230318;UFV.RS.MG.037551-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Apodi II;100% para APODI II ENERGIA SPE S/A (PIE);33000;20181128;UFV.RS.CE.033918-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Boa Hora 2;100% para Boa Hora 2 Geradora de Energia Solar S.A (PIE);23040;20190814;UFV.RS.SP.034162-2.02;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Jaíba SO;100% para Jaíba SO Energias Renováveis S.A. (PIE);40000;20240403;UFV.RS.MG.043156-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Futura 7;100% para SPE FUTURA 2 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A. (PIE);31474.8;20230524;UFV.RS.BA.037485-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Nova Olinda 11;100% para Nova  Olinda B Solar S.A. (PIE);30000;20171209;UFV.RS.PI.033130-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Pedranópolis 2;100% para USINA DE ENERGIA FOTOVOLTAICA PEDRANÓPOLIS S.A. (PIE);30000;20221117;UFV.RS.SP.034359-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
ETESA 22 São João do Piauí VI;100% para CELEO SÃO JOÃO DO PIAUÍ FV VI S.A. (PIE);31878;20200415;UFV.RS.PI.034790-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Futura 21;100% para SPE FUTURA 6 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A. (PIE);31474.8;20230526;UFV.RS.BA.037499-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Pedro e Paulo VIII;100% para FLORES ENERGIA SPE S.A (PIE);5800;20240518;UFV.RS.PE.046834-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
